College Name,Location,Type,Rating,Courses offered,Fee Start Range,Fee End Range
Andhra University,"Visakhapatnam, Andhra Pradesh",Public,3.6,34,16 K,14.44 L
KL University,"Guntur, Andhra Pradesh",Private,3.5,23,1.40 L,15.60 L
Sri Venkateswara University (SVU),"Tirupati, Andhra Pradesh",Public,3.5,18,8 K,2.71 L
Aditya Engineering College,"East Godavari, Andhra Pradesh",Private,3.7,5,54 K,2.01 L
GPREC,"Kurnool, Andhra Pradesh",Private,3.9,3,1.14 L,3.20 L
CBIT Hyderabad,"Kadapa, Andhra Pradesh",Private,3.8,5,86 K,5.36 L
"Andhra University College of Engineering, Visakhapatnam","Tadepalligudem, Andhra Pradesh",Public,3.6,0,1.20 L,6.38 L
"GITAM Institute of Management, Visakhapatnam","Visakhapatnam, Andhra Pradesh",Private,3.1,7,1 L,3.27 L
St Ann's College for Women,"Visakhapatnam, Andhra Pradesh",Private,3.8,3,1.15 L,1.98 L
"Bapatla Engineering College, Bapatla Education Society","Guntur, Andhra Pradesh",Autonomous/Private,3.7,6,1.14 L,3.72 L
VRSEC,"Vijayawada, Andhra Pradesh",Private,3.9,4,11 K,2.67 L
Gayatri Vidya Parishad College of Engineering,"Visakhapatnam, Andhra Pradesh",Private,3.7,3,1.14 L,3.40 L
Dayananda Sagar College of Architecture,"Vijayawada, Andhra Pradesh",Private,N/A,3,1.50 L,3.20 L
Shri Vishnu Engineering College for Women,"Bhimavaram, Andhra Pradesh",Private,4.2,3,80 K,3.73 L
Madanapalle Institute of Technology and Science,"Madanapalle, Andhra Pradesh",Private,3.5,6,1.03 L,3.04 L
Sri Vasavi Engineering College,"Tadepalligudem, Andhra Pradesh",Autonomous/Private,3.3,4,45 K,5 L
IIT Tirupati,"Tirupati, Andhra Pradesh",Autonomous,4.3,4,10 K,1.35 L
Raghu Engineering College,"Visakhapatnam, Andhra Pradesh",Private,3.1,2,24 K,99 K
SPA Vijayawada,"Vijayawada, Andhra Pradesh",Public,3.9,4,40 K,5 L
Indira Priyadarshini Law College,"Prakasam, Andhra Pradesh",Private,N/A,1,28 K,5.20 L
Dr. Y.S.R. Horticultural University,"Tadepalligudem, Andhra Pradesh",Public,N/A,3,20 K,1.32 L
Vasireddy Venkatadri Institute of Technology,"Guntur, Andhra Pradesh",Private,3.6,3,15 K,2 L
Aditya Institute of Technology and Management,"Srikakulam, Andhra Pradesh",Private,3.0,4,6 K,42 K
KPR Institute of Engineering and Technology,"Eluru, Andhra Pradesh",Private,2.9,3,60 K,3.36 L
G Pullaiah College of Engineering and Technology,"Kurnool, Andhra Pradesh",Private,4,3,60 K,3.36 L
Aizza College of Engineering and Technology,"Adilabad, Andhra Pradesh",Private,N/A,2,20 K,11.20 L
Rajeev Gandhi Memorial College of Engineering and Technology,"Nandyala, Andhra Pradesh",Private,3.2,4,3 K,81 K
NERIST Itanagar,"Itanagar, Arunachal Pradesh",Public,2.9,4,31 K,1.77 L
NIT Arunachal Pradesh,"Itanagar, Arunachal Pradesh",Public,N/A,3,30 K,5 L
Himalayan University Itanagar,"Itanagar, Arunachal Pradesh",Private,3.1,38,70 K,10.80 L
"Rajiv Gandhi University, [RGU] - Distance Education","Papum Pare, Arunachal Pradesh",Public,N/A,1,48 K,3.82 L
"National Research Centre on Yak, [NRCY] Dirang","Itanagar, Arunachal Pradesh",Public,N/A,1,1.08 L,4.64 L
Apex Professional University,"Pasighat, Arunachal Pradesh",Private,N/A,10,43 K,6.90 L
